ID,label,review
1,Negative,Jo bhi ap se tou behtar hoon
2,Positive,ya Allah meri sister Affia ki madad farma
3,Negative,Yeh khud chahta a is umar main shadi krna had ogi
4,Negative,Tc Apky mun xe exe alfax achy nae lgty
5,Positive,Good
6,Negative,American president John f Kennedy aur in ke bhai Robert Kennedy se bhi Marilyn Monroe ke affairs ka charcha raha
7,Negative,Commission aur kickback ka dor Dora raha quomi assase koriyon ke mol farokhat keye gaye
8,Positive,Allah pak nazer e bd sy bechye or humesha bohat tarkian dy Ameeen
9,Positive,Amoman log samajhte hain ke jhok siyal hi Abid Ali ki pheli serial thi halan ke sach ye hai ke unhon ne sab se phele Saleem Chishtti le likhe howe kheel zanjeer mein adakari ki
10,Negative,Akki KhanYani k tum v good Wesy tum shkll sy bhi khesiani billi kgti ho
11,Negative,Jail Road Pr Firing Se 1 Shaks Janbahaq Rpt M Ali Jokhio
12,Negative,hud hagai stupid actor hy acting ati he nahi isay maham kiya dakh liya app nay is mein sayra shaadi kr loo yar
13,Positive,Haha thank you so much
14,Positive,Pakistani cricket ki tareekh ka behtreen batsman all time grades mein kia numaya muqam ka hasiil aur Pakistan cricket ko kia naya chehra dene wale javed Miandad 12June 1957 ko karachi mein paida huwe
15,Negative,Nawaz Sharif ko Pakro Harimi Police walo Tum logon ki Again Maa Me Land Marey Ye ADNAN
16,Positive,Kash MERI MAAN ZINDA HOTI
17,Negative,5 Billion Dollor se zaid akhrajat ka takhmina lagaya hai
18,Negative,Kisi larki kay sat selfie lana tum hay maut ki yad dilata hay
19,Positive,NAMAZ E ZUHAR Hamari Aamdani Mein Izafa Karti Hein
20,Negative,Wasy ma sporting lahore ki team ko kr raha tha lakin Admin sb kisi py Lanat ni krni Cahiya
21,Positive,Duoan main yad rakhay ga
22,Positive,Hum sab ko milkar Pakistan aur islami aqdaar ki hifazat Karni hay musalmaan hony ka farz ada krein
23,Negative,Dar asal in k parents bhi nachney ganey waley he hongay warna shareef log apni izat ka tamasha nah lagatey
24,Positive,Mujhay tou dusri dafa sacha pyaar ho gaya hai
25,Negative,aur mein nai
26,Positive,Hazrat Sahab Dua ke darkast ha
27,Positive,In ke jaise shohar bano in ke jaise sabiq shohar bano in ke jaise bhai bano aur in ke jaise bete bano
28,Positive,Hamare intellectual ise aik sub standard mawad gardantey hai lekin un mein se koi bhi Ibn e Safi ke takhleeqi zehan ka muqabla nahi kar sakta
29,Positive,Tab aik sadabahar geet ne janam liya
30,Negative,Aye Logo Apni Aurto KoSingarwala Libas Pahenkar Gair Mahramo Ke Samne Nikalne Se Mana Karo
31,Positive,Kya bt hai
32,Positive,Wo ashaar ke ilawa lafzon aur jumlon ko bhi is qadar pur kashish bana dete hain ke audience mashoor hue jate hain
33,Positive,Hahahah
34,Negative,Aa na zara Judge karte he kuch logo ko
35,Positive,Jab Last Smester Main Arrays Parhae Thyn Sir Told Us To Write Down These Golden Lines D
36,Positive,Aap ko sakht sadma howa aur kai roz tak aap dil girifta rahe apni waldah ki wafat ke hawale se Iqbal ne maha raja Parshad ko tehrir kiya 鄭h Isnan apni kazori ko chupane mein kis qadar taq hai
37,Positive,Bht acha hai
38,Positive,Ustad Bare Ghulam Ali Khan ne mosiqi ke tamam raz Master Inayat Hussain par wa kar deye aur un ki khososi tawajah ne Master Inayat Hussain mein ese roshni paida ki jis ka izhar unhon ne apni filmi mosiqi mein is tarah kiya ke un ke banaye howae geet amar ho gaye aur aaj bhi sune walon ke kanon mein ras gholte hain
39,Positive,Maza ata hy
40,Negative,Pehlay Pagal Kiya Aur Phir Mujhay Pathar Maaray
41,Negative,Wo lrki kitni buri lg rhi he na red dress me
42,Positive,Jis ka aik song is qadar maqbool hua tha ke is ke bolon ki bazagisht aaj bhi suni ja sakti hai
43,Negative,Wesay to Pemra ko srif PTI hi nazer ati hai baqi jo merzi kro
